channel_id,life_time
208,36732.42144529255
209,15823.086311510895
210,22395.683813176864
211,16636.129397321743
212,15870.94843766741
213,19122.344005173003
214,12998.820149635658
215,15118.121206591753
216,14828.25223214068
217,20081.107834487608
218,12624.047691543172
219,16000.112077969137
220,19855.570468330716
221,10875.448722172376
222,29656.67368076248
223,16291.323510615413
224,14481.397798747092
225,18092.265549430984
226,27386.115364549893
227,22297.39187508642
228,22160.248804748415
229,22550.10677908798
230,21438.59503292141
231,20173.423994559897
232,24266.403602396054
233,14105.956704995939
234,18795.552231536432
235,18316.235739477685
236,13576.417307463287
237,23287.660867112754
238,11676.370424712242
239,20709.15886044334
240,17434.298891484228
241,23627.22136186608
242,34335.160327555306
243,9453.6505205571
244,24464.883955317346
245,12796.104737562442
246,14723.219691599657
247,15610.554470623065
248,16390.64154990658
249,24710.14603233646
250,16453.055451038894
251,15229.956254358061
252,25214.681142854286
253,20617.504020781595
254,12099.758317981948
255,21160.914076203484
256,15995.286051435987
257,21275.637826891703
258,16555.904377528466
259,16111.997540366816
260,21673.71727447345
261,18826.033107473228
262,10285.993453188843
263,8308.454872381737
264,24443.004618789477
265,13760.489954863031
266,16871.26028147548
267,17500.18367898012
268,28933.76914432139
269,24657.909924806423
270,16824.561929811192
271,13975.318509523067
272,21969.845343969857
273,19251.758769687054
274,15988.310513426008
275,24261.667738190215
276,27602.482626105193
277,22794.155073507558
278,29962.72524024974
279,23142.449981768335
280,18107.202911233093
281,12141.563706540273
282,15127.816237989256
283,16542.666467162548
284,11869.267437984468
285,14801.2919754407
286,15984.902368149173
287,13962.123988781119
288,18135.083180319107
289,20010.590230426522
290,15344.860861438077
291,16995.538818676894
292,13379.95311449603
293,15356.619555682222
294,20386.92051493755
295,11980.23519606174
296,25891.530358333373
297,13799.288421305893
298,23249.619560769417
299,22777.721223265915
300,17217.67328689603
301,16110.619798912987
302,27893.763420348303
303,24886.312549091243
304,29142.79113316537
305,16561.92394693942
306,17306.402981913085
307,26362.805428429376
308,16932.869660738026
309,21980.381745718667
310,25132.05902426154
311,30015.123128494943
312,15919.667324743146
313,17272.782670558423
314,15618.29376851171
315,21888.167013487986
316,26999.739519818617
317,15616.77111641711
318,26212.910071859224
319,27545.926467211895
320,16384.822549470526
321,16652.616866292843
322,20823.893830726363
323,15469.698227635374
324,22731.31373415078
325,11228.492759378449
326,9391.926006599455
327,10954.996601484021
328,11611.152118868209
329,16580.444019286115
330,26486.424574123692
331,23908.99856848296
332,24456.65472995207
333,25303.999812312202
334,26158.846269310572
335,22529.30976497718
336,17554.172307468347
337,19065.555074246055
338,24892.451438979733
339,16414.97449275063
340,18143.64612049838
341,16872.77020857482
342,12456.356542107405
343,23233.28282552797
344,19699.52833767758
345,23251.10505686333
346,26408.57899066699
347,20860.368157147073
348,17908.830514174562
349,20162.667674695793
350,26253.952952869975
351,20867.497960419812
352,15176.045523398747
353,24525.710545355316
354,26521.62658096636
355,38308.28546135814
356,15962.417139695262
357,21427.83896380878
358,31228.974009928934
359,19854.624564878362
360,11696.50525591066
361,21129.158785079973
362,20258.969125970933
363,24690.758794699337
364,14836.39390125802
365,26038.790031726887
366,8569.793723233179
367,13049.244249433705
368,27027.418588332872
369,23373.971885715888
370,14638.230860491061
371,26226.43448085729
372,13467.950402885574
373,22536.87715672268
374,21812.755063978973
375,12202.605127180006
376,9198.66737019759
377,14193.476026325718
378,18043.1748427547
379,14405.582455463638
380,26386.370402437668
381,26869.104245679857
382,37001.78193566559
383,18165.424970028835
384,17381.21650315938
385,20097.40426703201
386,11131.166888385422
387,16468.39789071454
388,13124.294112019987
389,20434.73110950542
390,21374.148552726638
391,16081.052679870882
392,18286.087924322674
393,25072.03704525786
394,14072.331018281804
395,17820.04643191759
396,17659.2465654059
